state_awps,district_awps,locs,locations.lon,locations.lat
Andhra Pradesh,Ananthapuramu,Ananthapuramu Andhra Pradesh,77.594213,14.684868
Andhra Pradesh,Guntur Urban,Guntur Urban Andhra Pradesh,80.436579,16.324206
Andhra Pradesh,Nellore,Nellore Andhra Pradesh,79.98674,14.45363
Andhra Pradesh,Tirupati Urban,Tirupati Urban Andhra Pradesh,79.413807,13.620239
Andhra Pradesh,Vizianagaram,Vizianagaram Andhra Pradesh,83.41148,18.11692
Andhra Pradesh,Chittoor,Chittoor Andhra Pradesh,79.0956,13.21055
Andhra Pradesh,Kadapa,Kadapa Andhra Pradesh,78.82352,14.4775
Andhra Pradesh,Prakasam,Prakasam Andhra Pradesh,79.5,15.5
Andhra Pradesh,Vijayawada City,Vijayawada City Andhra Pradesh,80.63049,16.51928
Andhra Pradesh,West Godavri,West Godavri Andhra Pradesh,81.381457,16.979383
Andhra Pradesh,East Godavri,East Godavri Andhra Pradesh,81.910099,17.269122
Andhra Pradesh,Krishna,Krishna Andhra Pradesh,81.13888,16.18747
Andhra Pradesh,Rajamahendravaram (urban),Rajamahendravaram (urban) Andhra Pradesh,81.803275,17.007634
Andhra Pradesh,Vishakhapatnam City,Vishakhapatnam City Andhra Pradesh,83.20925,17.69004
Andhra Pradesh,Guntur Rural,Guntur Rural Andhra Pradesh,80.439328,16.330795
Andhra Pradesh,Kurnool,Kurnool Andhra Pradesh,78.03382,15.82762
Andhra Pradesh,Srikakulam,Srikakulam Andhra Pradesh,83.89732,18.29692
Andhra Pradesh,Vishakhapatnam Rural,Vishakhapatnam Rural Andhra Pradesh,83.270862,17.757886
Arunachal Pradesh,Itanagar,Itanagar Arunachal Pradesh,93.60987,27.08694
Assam,Guwahati,Guwahati Assam,91.75095,26.18617
Bihar,Aara,Aara Bihar,84.663559,25.560421
Bihar,Bagusarai,Bagusarai Bihar,86.117495,25.423078
Bihar,Bhagalpur,Bhagalpur Bihar,86.97183,25.24446
Bihar,Gaya,Gaya Bihar,85.00385,24.79686
Bihar,Jamui,Jamui Bihar,86.22574,24.92589
Bihar,Lahariya Sarai (Darbhanga),Lahariya Sarai (Darbhanga) Bihar,85.89707,26.15216
Bihar,Motihari (East Champaran),Motihari (East Champaran) Bihar,84.75,26.75
Bihar,Nawada,Nawada Bihar,85.54364,24.8867
Bihar,Saharsa,Saharsa Bihar,86.59471,25.88504
Bihar,Shivhar,Shivhar Bihar,85.293174,26.515088
Bihar,Arariya,Arariya Bihar,87.4489,26.136582
Bihar,Banka,Banka Bihar,86.92257,24.88091
Bihar,Bihar Sharif,Bihar Sharif Bihar,85.52374,25.19729
Bihar,Gopalgang,Gopalgang Bihar,84.438536,26.469677
Bihar,Katihar,Katihar Bihar,87.57044,25.53852
Bihar,Munger,Munger Bihar,86.47352,25.37556
Bihar,Orangabad,Orangabad Bihar,84.369765,24.760888
Bihar,Samastipur,Samastipur Bihar,85.78971,25.86077
Bihar,Shiwan,Shiwan Bihar,84.355186,26.22312
Bihar,Arwal,Arwal Bihar,84.66629,25.24878
Bihar,Batiya (West Champaran),Batiya (West Champaran) Bihar,84.286156,27.185229
Bihar,Buxar,Buxar Bihar,83.97867,25.57473
Bihar,Hazipur (Vaishali),Hazipur (Vaishali) Bihar,85.41667,25.75
Bihar,Khagariya,Khagariya Bihar,86.479415,25.511479
Bihar,Madhepura,Madhepura Bihar,87,25.8
Bihar,Muzaffarpur,Muzaffarpur Bihar,85.39055,26.12259
Bihar,Patna,Patna Bihar,85.11936,25.60222
Bihar,Sasaram,Sasaram Bihar,84.01693,24.94872
Bihar,Sitamani,Sitamani Bihar,85.483761,26.590997
Bihar,Bagaha,Bagaha Bihar,84.09003,27.09918
Bihar,Bhabhua,Bhabhua Bihar,83.605716,25.045344
Bihar,Chhapra (Saran),Chhapra (Saran) Bihar,85.17131,25.69397
Bihar,Jahanabad,Jahanabad Bihar,84.98772,25.21398
Bihar,Kishanganj,Kishanganj Bihar,86.95088,25.68437
Bihar,Madhubani,Madhubani Bihar,86.07169,26.35367
Bihar,Navgachhiya,Navgachhiya Bihar,87.097662,25.390502
Bihar,Purniya,Purniya Bihar,87.377263,25.859732
Bihar,Shekhpura,Shekhpura Bihar,85.766091,25.144833
Bihar,Supol,Supol Bihar,86.783565,26.225109
Chhattisgarh,Durg,Durg Chhattisgarh,81.28333,21.18333
Chhattisgarh,Bilaspur,Bilaspur Chhattisgarh,82.1566,22.07402
Chhattisgarh,Raipur,Raipur Chhattisgarh,81.63333,21.23333
Chhattisgarh,Sarguja,Sarguja Chhattisgarh,82,21.5
Goa,Panaji,Panaji Goa,73.82624,15.49574
Gujarat,Ahemdabad (West),Ahemdabad (West) Gujarat,72.597683,23.057642
Gujarat,Ahemdabad City (East),Ahemdabad City (East) Gujarat,72.597683,23.057642
Gujarat,Ahemdabad Rural,Ahemdabad Rural Gujarat,72.597683,23.057642
Gujarat,Ahwa-Dang,Ahwa-Dang Gujarat,73.687864,20.757004
Gujarat,Amreli,Amreli Gujarat,71.21169,21.59984
Gujarat,Anand,Anand Gujarat,72.9552,22.55251
Gujarat,Banaskantha,Banaskantha Gujarat,72.211607,24.274539
Gujarat,Baroda City,Baroda City Gujarat,73.20812,22.2994
Gujarat,Bharuch,Bharuch Gujarat,72.9805,21.69482
Gujarat,Bhavnagar,Bhavnagar Gujarat,72.1525,21.77446
Gujarat,Dahod,Dahod Gujarat,74.2595,22.83188
Gujarat,Gandhinagar,Gandhinagar Gujarat,72.68333,23.21667
Gujarat,Jamnagar,Jamnagar Gujarat,70.06673,22.47292
Gujarat,Junagadh,Junagadh Gujarat,70.45981,21.51966
Gujarat,Kheda (Nadiad),Kheda (Nadiad) Gujarat,72.86157,22.69385
Gujarat,"Kutch, Gandhidham","Kutch, Gandhidham Gujarat",70.13333,23.08333
Gujarat,Kutch-Bhuj (West),Kutch-Bhuj (West) Gujarat,70.13333,23.08333
Gujarat,Mehsana,Mehsana Gujarat,72.38472,23.59864
Gujarat,Narmada,Narmada Gujarat,73.699166,21.878337
Gujarat,Navasari,Navasari Gujarat,72.91667,20.85
Gujarat,Panchmahal,Panchmahal Gujarat,73.622178,22.704704
Gujarat,Patan,Patan Gujarat,72.12963,23.8507
Gujarat,Porbander,Porbander Gujarat,69.620675,21.642775
Gujarat,Rajkot City,Rajkot City Gujarat,70.79322,22.29161
Gujarat,Rajkot Rural,Rajkot Rural Gujarat,70.803467,22.304518
Gujarat,Sabarkantha,Sabarkantha Gujarat,73.1039,23.913791
Gujarat,Surat City,Surat City Gujarat,72.83023,21.19594
Gujarat,Surat Rural,Surat Rural Gujarat,72.821605,21.155883
