"locs","dowry","awps","ps_loc_1","ps_loc_2"
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",1,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"अमेठी अमेठी",0,0,26.15523,81.814116
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",1,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"कमरौली अमेठी",0,0,26.494242,81.557575
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",1,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"गौरीगंज अमेठी",0,0,26.207707,81.685985
"जगदीशपुर अमेठी",0,0,26.459162,81.625436
"जगदीशपुर अमेठी",0,0,26.459162,81.625436
"जगदीशपुर अमेठी",0,0,26.459162,81.625436
"जगदीशपुर अमेठी",0,0,26.459162,81.625436
"जगदीशपुर अमेठी",1,0,26.459162,81.625436
"जगदीशपुर अमेठी",0,0,26.459162,81.625436
"जगदीशपुर अमेठी",0,0,26.459162,81.625436
