"district","station","system","Month_Yr","locs","ps_loc_1","ps_loc_2"
"AMBALA","AMBALA CANTT",2015-01-15,"2015-01","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-02-01,"2015-02","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-02-14,"2015-02","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-03-04,"2015-03","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-03-12,"2015-03","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-04-29,"2015-04","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-05-05,"2015-05","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-06-02,"2015-06","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-06-09,"2015-06","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-07-05,"2015-07","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-08-23,"2015-08","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-09-16,"2015-09","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2015-11-09,"2015-11","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-03-31,"2016-03","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-04-06,"2016-04","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-04-30,"2016-04","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-05-13,"2016-05","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-06-30,"2016-06","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-07-17,"2016-07","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-10-09,"2016-10","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-11-25,"2016-11","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-12-16,"2016-12","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2016-12-27,"2016-12","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-03-10,"2017-03","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-04-08,"2017-04","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-04-28,"2017-04","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-05-16,"2017-05","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-06-26,"2017-06","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-07-24,"2017-07","AMBALA CANTT AMBALA",30.334396,76.845838
"AMBALA","AMBALA CANTT",2017-07-29,"2017-07","AMBALA CANTT AMBALA",30.334396,76.845838
