"system","count"
2015-01-01,65
2015-01-02,146
2015-01-03,136
2015-01-04,220
2015-01-05,224
2015-01-06,275
2015-01-07,206
2015-01-08,270
2015-01-09,240
2015-01-10,269
2015-01-11,193
2015-01-12,185
2015-01-13,187
2015-01-14,226
2015-01-15,250
2015-01-16,237
2015-01-17,258
2015-01-18,233
2015-01-19,264
2015-01-20,247
2015-01-21,243
2015-01-22,236
2015-01-23,215
2015-01-24,250
2015-01-25,233
2015-01-26,190
2015-01-27,266
2015-01-28,289
2015-01-29,245
2015-01-30,239
2015-01-31,232
2015-02-01,219
2015-02-02,235
2015-02-03,251
2015-02-04,230
2015-02-05,245
2015-02-06,239
2015-02-07,247
2015-02-08,202
2015-02-09,230
2015-02-10,234
2015-02-11,188
2015-02-12,326
2015-02-13,241
2015-02-14,223
2015-02-15,213
2015-02-16,241
2015-02-17,253
2015-02-18,297
2015-02-19,305
2015-02-20,261
2015-02-21,298
2015-02-22,226
2015-02-23,264
2015-02-24,270
2015-02-25,281
2015-02-26,304
2015-02-27,279
2015-02-28,235
2015-03-01,170
2015-03-02,237
2015-03-03,254
2015-03-04,227
2015-03-05,189
2015-03-06,123
2015-03-07,264
2015-03-08,178
2015-03-09,244
2015-03-10,234
2015-03-11,273
2015-03-12,264
2015-03-13,269
2015-03-14,225
2015-03-15,206
2015-03-16,221
2015-03-17,247
2015-03-18,260
2015-03-19,271
2015-03-20,235
2015-03-21,237
2015-03-22,232
2015-03-23,235
2015-03-24,282
2015-03-25,288
2015-03-26,237
2015-03-27,237
2015-03-28,213
2015-03-29,212
2015-03-30,222
2015-03-31,249
2015-04-01,272
2015-04-02,266
2015-04-03,238
2015-04-04,268
2015-04-05,220
2015-04-06,260
2015-04-07,304
2015-04-08,313
2015-04-09,286
2015-04-10,273
2015-04-11,237
2015-04-12,213
2015-04-13,263
2015-04-14,261
2015-04-15,240
2015-04-16,302
2015-04-17,310
2015-04-18,268
2015-04-19,237
2015-04-20,236
