Sr.No ,REGISTERED_DISTRICT ,REGISTERED_PS ,FIR_No ,TRANSFERED_DISTRICT ,TRANSFERED_PS 
,,,,,
1,AGRA ,FATEHABAD ,0109/2016 ,ANTI CORRUPTION ,ANTI CORRUPTION 
,,,,,
2,AGRA ,SHAHGANJ ,2111/2015 ,SATARA ,SATARA CITY 
,,,,,
3,AGRA ,TAJGANJ ,0776/2015 ,AGRA ,MAHILA THANA 
,,,,,
4,AGRA ,TAJGANJ ,0126/2016 ,AGRA ,MAHILA THANA 
,,,,,
5,AGRA ,TAJGANJ ,0151/2016 ,AGRA ,MAHILA THANA 
,,,,,
6,AGRA ,TAJGANJ ,0418/2016 ,AGRA ,MAHILA THANA 
,,,,,
7,AGRA ,TAJGANJ ,0456/2016 ,AGRA ,MAHILA THANA 
,,,,,
8,AGRA ,TAJGANJ ,0482/2016 ,AGRA ,MAHILA THANA 
,,,,,
9,AGRA ,TAJGANJ ,0679/2015 ,AGRA ,MAHILA THANA 
,,,,,
10,AGRA ,TAJGANJ ,0703/2015 ,AGRA ,MAHILA THANA 
,,,,,
11,AGRA ,TAJGANJ ,0719/2015 ,AGRA ,MAHILA THANA 
,,,,,
12,AGRA ,TAJGANJ ,0738/2015 ,AGRA ,FATEHPUR SIKRI 
,,,,,
13,AGRA ,MADAN MOHAN GATE ,0030/2016 ,AGRA ,KOTWALI 
,,,,,
14,AGRA ,NIBOHARA ,0054/2017 ,AGRA ,MAHILA THANA 
,,,,,
15,AGRA ,NIBOHARA ,0059/2017 ,AGRA ,MAHILA THANA 
,,,,,
16,AGRA ,NAI-KI-MANDI ,0000/2017 ,AGRA ,NEW AGRA 
,,,,,
17,AGRA ,RAKABGANJ ,0318/2015 ,AGRA ,MAHILA THANA 
,,,,,
18,AGRA ,RAKABGANJ ,0331/2015 ,AGRA ,SADAR BAZAR 
,,,,,
19,AGRA ,RAKABGANJ ,0038/2017 ,AGRA ,SADAR BAZAR 
,,,,,
20,AGRA ,RAKABGANJ ,0059/2017 ,AGRA ,LOHAMANDI 
,,,,,
21,AGRA ,RAKABGANJ ,0060/2017 ,AGRA ,TAJGANJ 
,,,,,
22,AGRA ,SADAR BAZAR ,0266/2015 ,AGRA ,TAJGANJ 
,,,,,
23,AGRA ,SADAR BAZAR ,0471/2015 ,AGRA ,TAJGANJ 
,,,,,
24,AGRA ,SADAR BAZAR ,0532/2015 ,AGRA ,TAJGANJ 
,,,,,
25,AGRA ,SADAR BAZAR ,0548/2015 ,AGRA ,SADAR BAZAR 
,,,,,
26,AGRA ,SADAR BAZAR ,0784/2015 ,AGRA ,TAJGANJ 
,,,,,
27,AGRA ,SADAR BAZAR ,0891/2015 ,AGRA ,TAJGANJ 
,,,,,
28,AGRA ,SADAR BAZAR ,1107/2015 ,AGRA ,TAJGANJ 
,,,,,
29,AGRA ,SADAR BAZAR ,0311/2017 ,AGRA ,MAHILA THANA 
,,,,,
30,AGRA ,SHAHGANJ ,0501/2015 ,AGRA ,MAHILA THANA 
,,,,,
31,AGRA ,SHAHGANJ ,0623/2015 ,AGRA ,MAHILA THANA 
,,,,,
32,AGRA ,SHAHGANJ ,0096/2016 ,AGRA ,MAHILA THANA 
,,,,,
33,AGRA ,SHAMSHABAD ,0043/2016 ,AGRA ,MAHILA THANA 
,,,,,
34,AGRA ,SHAMSHABAD ,0159/2016 ,AGRA ,MAHILA THANA 
,,,,,
35,AGRA ,SHAMSHABAD ,0183/2016 ,AGRA ,MAHILA THANA 
,,,,,
36,AGRA ,SHAMSHABAD ,0185/2016 ,AGRA ,MAHILA THANA 
,,,,,
37,AGRA ,SHAMSHABAD ,0207/2016 ,AGRA ,MAHILA THANA 
,,,,,
38,AGRA ,SHAMSHABAD ,0259/2016 ,AGRA ,MAHILA THANA 
,,,,,
39,AGRA ,SHAMSHABAD ,0313/2016 ,AGRA ,MAHILA THANA 
,,,,,
40,AGRA ,SHAMSHABAD ,0314/2016 ,AGRA ,MAHILA THANA 
,,,,,
41,AGRA ,SHAMSHABAD ,0347/2016 ,AGRA ,MAHILA THANA 
,,,,,
42,AGRA ,SHAMSHABAD ,0405/2016 ,AGRA ,MAHILA THANA 
,,,,,
43,AGRA ,TAJGANJ ,0104/2015 ,AGRA ,RAKABGANJ 
,,,,,
44,AGRA ,TAJGANJ ,0109/2015 ,AGRA ,RAKABGANJ 
,,,,,
45,AGRA ,TAJGANJ ,0122/2015 ,AGRA ,RAKABGANJ 
,,,,,
46,AGRA ,TAJGANJ ,0125/2015 ,AGRA ,MAHILA THANA 
,,,,,
47,AGRA ,TAJGANJ ,0159/2015 ,AGRA ,SADAR BAZAR 
,,,,,
48,AGRA ,TAJGANJ ,0319/2015 ,AGRA ,MAHILA THANA 
,,,,,
49,AGRA ,TAJGANJ ,0384/2015 ,AGRA ,SADAR BAZAR 
,,,,,
50,AGRA ,TAJGANJ ,0406/2015 ,AGRA ,MAHILA THANA 
,,,,,
51,AGRA ,TAJGANJ ,0421/2015 ,AGRA ,MAHILA THANA 
,,,,,
52,AGRA ,TAJGANJ ,0595/2015 ,AGRA ,MAHILA THANA 
,,,,,
53,AGRA ,TAJGANJ ,0598/2015 ,AGRA ,MAHILA THANA 
,,,,,
54,AGRA ,TAJGANJ ,0624/2015 ,AGRA ,MAHILA THANA 
,,,,,
55,AGRA ,ACHHNERA ,0281/2015 ,AGRA ,MAHILA THANA 
,,,,,
56,AGRA ,ACHHNERA ,0475/2015 ,AGRA ,MAHILA THANA 
,,,,,
57,AGRA ,ACHHNERA ,0051/2016 ,AGRA ,MAHILA THANA 
,,,,,
58,AGRA ,ACHHNERA ,0065/2016 ,AGRA ,MAHILA THANA 
,,,,,
59,AGRA ,ACHHNERA ,0105/2016 ,AGRA ,MAHILA THANA 
,,,,,
60,AGRA ,ACHHNERA ,0132/2016 ,AGRA ,MAHILA THANA 
,,,,,
61,AGRA ,ACHHNERA ,0380/2016 ,AGRA ,MAHILA THANA 
,,,,,
62,AGRA ,ACHHNERA ,0413/2016 ,AGRA ,MAHILA THANA 
,,,,,
63,AGRA ,ACHHNERA ,0644/2016 ,AGRA ,MAHILA THANA 
,,,,,
64,AGRA ,ACHHNERA ,0723/2016 ,AGRA ,MAHILA THANA 
,,,,,
