a,final
GRP JHANSI  JHANSI ,"25.446296, 78.553763"
KOTWALI NAGAR  GONDA ,"27.135931, 81.964017"
MAHILA THANA  BAREILLY ,"28.349311, 79.420424"
GRP GORAKHPUR  GORAKHPUR ,"26.755363, 83.406729"
GRP CHARBAGH LUCKNOW  LUCKNOW ,"26.831645, 80.925438"
GRP MORADABAD  MORADABAD ,"28.839634, 78.765745"
KOTWALI DEHAT  SAHARANPUR ,"29.990193, 77.560109"
GRP GHAZIABAD  GHAZIABAD ,"28.665622, 77.438900"
MAHILA THANA  GHAZIABAD ,"28.677567, 77.436079"
KOTWALI DEHAT  GONDA ,"27.136030, 81.964058"
MAHILA THANA  PILIBHIT ,"28.634256, 79.812767"
GRP GONDA  GONDA ,"27.038447, 82.228165"
MANSOORPUR  MUZAFFAR NAGAR ,"29.354754, 77.713444"
GRP BAREILLY JUNCTION  BAREILLY ,"28.336024, 79.411136"
KOTWALI  KANPUR CITY ,"26.472929, 80.350975"
RLY. STN. NEW DELHI  C&R ,"28.641998, 77.222557"
KADIPUR  SULTANPUR ,"26.268151, 82.076071"
GRP BASTI  BASTI ,"26.815303, 82.764789"
MAHILA THANA  BAHRAICH ,"27.575282, 81.619354"
GRP KANPUR  KANPUR CITY ,"26.448431, 80.351330"
MAHILA THANA  GORAKHPUR ,"26.763127, 83.377310"
MAHILA THANA  SULTANPUR ,"26.270532, 82.067057"
GWALIOR-BG  GRP BHOPAL ,"23.268453, 77.414477"
HAZRAT NIZAMUDDIN RLY STN  C&R ,"28.592673, 77.243834"
MAHILA THANA  GONDA ,"27.138155, 81.939016"
MAHILA THANA  AMETHI ,"26.216897, 81.686608"
FIROZABAD NORTH  FIROZABAD ,"27.153465, 78.395177"
MAHILA THANA  MORADABAD ,"28.849250, 78.766671"
NAWABGANJ  BAREILLY ,"28.539817, 79.633283"
MOTIGARPUR  SULTANPUR ,"26.240346, 82.303275"
MAHILA THANA  AURAIYA ,"26.636541, 79.545038"
GRP ALLAHABAD  ALLAHABAD ,"25.445753, 81.824101"
BHOPAL  GRP BHOPAL ,"23.270749, 77.414606"
GRP MANIKPUR  CHITRAKOOT ,"25.063619, 81.094073"
AGRA CANTT  GRP AGRA ,"27.161042, 77.991191"
MAHILA THANA  SAHARANPUR ,"29.948949, 77.550362"
MAHILA THANA  AGRA ,"27.168294, 78.014411"
RLY. STN.DELHI MAIN  C&R ,"28.641428, 77.222261"
LONI  GHAZIABAD ,"28.747090, 77.315992"
AJNAR  MAHOBA ,"25.194622, 79.509018"
MAHILA THANA  BADAUN ,"28.034173, 79.120381"
IKAUNA  SHRAVASTI ,"27.530133, 81.966387"
BARADARI  BAREILLY ,"28.363808, 79.430107"
GRP ORAI  JALAUN ,"26.012325, 79.497778"
GRP RAEBAREILLI  RAE BARELI ,"26.233290, 81.238985"
PURANPUR  PILIBHIT ,"28.521635, 80.147927"
BINA  GRP BHOPAL ,"23.270748, 77.414722"
MAHILA THANA  KHERI ,"27.946748, 80.788950"
SADAR BAZAR  SAHARANPUR ,"29.974417, 77.547878"
KAKORI  LUCKNOW ,"26.887403, 80.801715"
CHOPAN  SONBHADRA ,"24.528399, 83.024260"
MAHILA THANA  SHAHJAHANPUR ,"27.892643, 79.908726"
IZAT NAGAR  BAREILLY ,"28.393381, 79.433575"
