YEAR,STATE/UT,DGP/Spl DG/ADGP,Addl.DG,IGP,DIG,AIGP/SSP/SP/COM,ADL.SP/Dy.COM,ASP/Dy.SP/Asst.COM,INSP.,S.I,A.S.I,Head Const.,Const.,Total Women,Total Police,% Women
2008,A & N ISLANDS,,,,,,,,4,10,2,23,154,193,2647,0.072912731
2009,A & N ISLANDS,,,,,,,,4,15,1,23,193,236,2630,0.08973384
2010,A & N ISLANDS,,,,,,,,4,15,1,25,148,193,3453,0.055893426
2011,A & N ISLANDS,,,,,,,,4,15,2,38,330,389,3431,0.113378024
2012,A & N ISLANDS,,,,,,,,7,11,2,40,328,388,3647,0.106388813
2013,A & N ISLANDS,,,,,2,,,9,9,2,42,368,432,3771,0.114558473
2014,A & N ISLANDS,,,,,2,,,9,9,3,40,382,445,3947,0.112743856
2015,A & N ISLANDS,,,,,2,,,10,11,7,45,370,445,3865,0.115135834
2016,A & N ISLANDS,,,,,2,,,9,19,7,43,371,451,3912,0.115286299
2017,A & N ISLANDS,,,,,4,5,,9,19,2,43,396,478,3925,0.121783439
2008,ANDHRA PRADESH,1,,1,2,8,,2,8,76,21,97,1503,1719,88807,0.019356582
2009,ANDHRA PRADESH,1,,1,2,8,,2,8,76,21,97,1503,1719,101381,0.01695584
2010,ANDHRA PRADESH,2,,1,4,2,6,3,8,77,33,133,1605,1874,109969,0.017041166
2011,ANDHRA PRADESH,2,,1,4,2,6,3,8,77,33,133,1605,1874,90503,0.020706496
2012,ANDHRA PRADESH,2,,1,4,1,3,1,5,52,21,166,1775,2031,89325,0.022737196
2013,ANDHRA PRADESH,2,,1,4,1,3,1,29,54,54,548,1521,2218,96978,0.022871167
2014,ANDHRA PRADESH,3,,3,1,3,5,23,68,275,290,612,3339,4622,106635,0.043344118
2015,ANDHRA PRADESH,1,,3,,6,7,29,16,39,119,328,1527,2075,56884,0.036477744
2016,ANDHRA PRADESH,,2,2,,4,8,28,17,44,167,311,1518,2101,49587,0.042369976
2017,ANDHRA PRADESH,,2,2,,4,4,29,16,46,161,318,1482,2064,49452,0.041737442
2008,ARUNACHAL PRADESH,,,,,,,,2,11,5,10,260,288,5723,0.050323257
2009,ARUNACHAL PRADESH,,,,,,,,3,12,3,17,346,381,6877,0.055402065
2010,ARUNACHAL PRADESH,1,,,,,,,3,12,3,17,346,382,6833,0.055905166
2011,ARUNACHAL PRADESH,1,,,,,,,3,18,3,17,356,398,6882,0.057832026
2012,ARUNACHAL PRADESH,1,,,,1,,,5,16,4,16,356,399,7805,0.051121076
2013,ARUNACHAL PRADESH,,,1,,2,,,5,16,5,14,538,581,11066,0.052503163
2014,ARUNACHAL PRADESH,,,,,3,,,5,16,5,13,540,582,11247,0.051747133
2015,ARUNACHAL PRADESH,,,,,,,1,6,39,17,8,719,790,11305,0.069880584
2016,ARUNACHAL PRADESH,,,,,1,,1,6,39,17,10,719,793,10923,0.072599103
2017,ARUNACHAL PRADESH,,,1,,,,1,4,39,17,9,716,787,11612,0.067774716
2008,ASSAM,,,,,4,1,9,12,20,28,71,414,559,51499,0.01085458
2009,ASSAM,,,,,4,1,6,12,24,28,71,414,560,62771,0.008921317
2010,ASSAM,,,,,5,3,6,11,49,30,78,432,614,53518,0.011472776
2011,ASSAM,,,,,6,3,6,6,50,29,78,432,610,54773,0.011136874
2012,ASSAM,,,,,5,5,15,6,50,29,78,432,620,55692,0.011132658
2013,ASSAM,,,,,6,6,20,3,60,30,78,432,635,55390,0.011464163
2014,ASSAM,,,,,7,6,17,4,83,17,42,334,510,55033,0.009267167
2015,ASSAM,,,,,7,7,20,9,114,30,42,345,574,51915,0.011056535
2016,ASSAM,,,1,,8,10,23,3,91,18,31,1585,1770,45484,0.038914783
2017,ASSAM,,,1,,8,9,69,6,119,18,65,2738,3033,55403,0.054744328
2008,BIHAR,,,,,4,,5,1,43,26,27,776,882,52075,0.01693711
2009,BIHAR,,,1,1,1,,5,1,47,33,33,951,1073,59999,0.017883631
2010,BIHAR,,,1,2,2,,5,1,113,19,28,949,1120,61963,0.018075303
2011,BIHAR,,,1,2,2,,5,1,113,19,28,949,1120,62500,0.01792
2012,BIHAR,,,3,2,2,,8,1,129,38,58,1244,1485,67964,0.021849803
2013,BIHAR,,,3,2,2,,9,11,137,55,130,1991,2340,68662,0.034079986
2014,BIHAR,,,4,1,9,,1,13,137,50,135,1991,2341,68819,0.034016769
2015,BIHAR,,,4,1,8,,1,13,137,51,141,1998,2354,70858,0.033221372
2016,BIHAR,,1,3,2,9,,14,21,170,119,82,6289,6710,93798,0.071536707
2017,BIHAR,,1,1,1,8,2,18,34,185,166,121,6375,6912,78203,0.088385356
2008,CHANDIGARH,,,,,,,,1,22,11,16,212,262,4308,0.060817084
2009,CHANDIGARH,,,,,,,,4,21,9,16,280,330,4452,0.074123989
2010,CHANDIGARH,,,,,,,,4,21,7,16,319,367,4506,0.08144696
2011,CHANDIGARH,,,,,,,,14,20,3,13,565,615,6143,0.100113951
2012,CHANDIGARH,,,,,,,,13,21,2,12,937,985,7308,0.134783799
2013,CHANDIGARH,,,,,,,,15,17,6,12,927,977,7119,0.137238376
2014,CHANDIGARH,,,,,,,2,16,18,6,46,929,1017,7181,0.141623729
2015,CHANDIGARH,,,,,,,4,16,18,7,45,928,1018,5991,0.169921549
2016,CHANDIGARH,,,,,,,2,16,12,7,67,815,919,5869,0.156585449
2017,CHANDIGARH,,,,,,,2,16,12,7,67,963,1067,5912,0.180480379
2008,CHHATTISGARH,,,,,,4,12,11,54,24,78,924,1107,27369,0.040447221
2009,CHHATTISGARH,,,,,1,2,23,49,24,25,73,1335,1532,32979,0.046453804
2010,CHHATTISGARH,,,,,1,4,23,43,25,25,92,1458,1671,39416,0.042393952
2011,CHHATTISGARH,,,,,1,5,23,48,40,35,95,1636,1883,41636,0.045225286
2012,CHHATTISGARH,,,,,3,5,21,48,47,25,111,1671,1931,47628,0.040543378
2013,CHHATTISGARH,,,,,3,5,23,57,35,40,130,1720,2013,45714,0.04403465
2014,CHHATTISGARH,,,,,3,11,18,57,41,48,152,2018,2348,54693,0.04293054
2015,CHHATTISGARH,,,,1,2,9,14,58,46,55,162,2281,2628,55215,0.047595762
2016,CHHATTISGARH,,,,1,3,8,31,61,84,55,170,2329,2742,55330,0.049557202
2017,CHHATTISGARH,,,,1,3,12,30,55,88,57,187,2358,2791,59596,0.046832002
2008,D & N HAVELI,,,,,,,,,2,,3,17,22,179,0.122905028
2009,D & N HAVELI,,,,,,,,,2,,3,17,22,207,0.106280193
2010,D & N HAVELI,,,,,,,,,2,,3,17,22,193,0.113989637
2011,D & N HAVELI,,,,,,,,,2,,7,17,26,284,0.091549296
2012,D & N HAVELI,,,,,,,,,2,,7,17,26,280,0.092857143
2013,D & N HAVELI,,,,,,,,,2,,11,13,26,271,0.095940959
2014,D & N HAVELI,,,,,,,,,2,,11,13,26,261,0.099616858
2015,D & N HAVELI,,,,,,,,,2,,10,12,24,253,0.09486166
2016,D & N HAVELI,,,,,,,,,2,,9,35,46,334,0.137724551
2017,D & N HAVELI,,,,,,,,,5,,9,36,50,338,0.147928994
2008,DAMAN & DIU,,,,,,,,,,,2,8,10,217,0.046082949
2009,DAMAN & DIU,,,,,,,,,,,2,7,9,212,0.04245283
2010,DAMAN & DIU,,,,,,,,,,,5,5,10,239,0.041841004
2011,DAMAN & DIU,,,,,,,,,,,5,5,10,263,0.038022814
2012,DAMAN & DIU,,,,,,,,,,,9,1,10,257,0.038910506
2013,DAMAN & DIU,,,,,,,,,,,7,,7,246,0.028455285
2014,DAMAN & DIU,,,,,,,,,,3,4,27,34,373,0.091152815
2015,DAMAN & DIU,,,,,,,,,,3,4,27,34,351,0.096866097
2016,DAMAN & DIU,,,,,1,,,,,3,4,35,43,390,0.11025641
2017,DAMAN & DIU,,,,,1,,,,4,3,4,34,46,384,0.119791667
2008,DELHI,,,1,,3,,25,73,172,511,459,1976,3220,79450,0.040528634
2009,DELHI,,,1,,3,,31,71,175,561,763,1975,3580,67881,0.052739353
2010,DELHI,,,,,3,,33,76,167,601,865,2877,4622,70619,0.065449808
2011,DELHI,1,,,1,3,4,25,80,191,615,793,3572,5285,82818,0.06381463
2012,DELHI,1,,,1,5,2,21,85,268,607,768,3598,5356,75169,0.071252777
2013,DELHI,,,1,,2,2,20,87,262,625,522,3500,5021,75530,0.066476897
2014,DELHI,,,2,,2,2,16,90,417,638,654,3592,5413,75704,0.071502166
2015,DELHI,2,,2,,6,2,12,96,559,645,552,4582,6458,77083,0.083779822
2016,DELHI,1,1,2,,7,2,15,100,580,649,792,4855,7004,76348,0.091737832
2017,DELHI,,1,2,,8,2,15,97,598,656,957,4831,7167,82979,0.086371251
2008,GOA,,,,,,,2,7,11,3,121,171,315,4670,0.06745182
2009,GOA,,,,,,,2,6,11,3,119,169,310,4623,0.067056024
2010,GOA,,,,,,,2,6,12,3,119,188,330,4745,0.069546891
2011,GOA,,,1,,,,2,6,13,1,126,184,333,5137,0.064823827
2012,GOA,,,,,,,2,7,12,1,148,177,347,5280,0.065719697
2013,GOA,,,,,,,2,7,13,,146,174,342,5322,0.064261556
2014,GOA,,,,,,,2,9,15,10,137,193,366,5924,0.061782579
2015,GOA,,,,,1,,4,4,13,10,134,212,378,6791,0.055661905
2016,GOA,,,,,2,,4,4,13,21,123,211,378,6745,0.056041512
2017,GOA,,,,,3,,4,4,44,23,124,556,758,7017,0.108023372
2008,GUJARAT,,,,,,,,11,45,226,476,1716,2474,72838,0.033965787
2009,GUJARAT,,,,,,,,2,12,186,288,1021,1509,56811,0.026561757
2010,GUJARAT,1,,,1,3,,4,3,37,298,471,2160,2978,60453,0.04926141
2011,GUJARAT,1,,,1,,3,6,5,34,220,493,741,1504,64376,0.023362744
2012,GUJARAT,1,,,1,,3,7,6,93,255,522,1133,2021,57889,0.034911641
2013,GUJARAT,1,,,2,,6,6,6,100,254,565,1116,2056,68189,0.030151491
2014,GUJARAT,1,,2,,,10,24,6,99,289,595,1665,2691,74023,0.036353566
2015,GUJARAT,2,,1,,,10,24,5,171,286,560,1776,2835,73313,0.038669813
2016,GUJARAT,1,1,1,1,,12,21,5,183,291,576,1758,2850,70491,0.040430693
2017,GUJARAT,1,,1,2,14,,21,9,356,300,629,4163,5496,76036,0.072281551
2008,HARYANA,1,,,,6,3,2,4,32,37,74,1199,1358,49443,0.027465971
2009,HARYANA,,,,,6,,4,16,73,64,53,1657,1873,46451,0.04032206
2010,HARYANA,,,,,6,9,1,17,76,71,80,1669,1929,46261,0.041698191
2011,HARYANA,,,,1,3,,12,23,88,84,80,1891,2182,44354,0.049195112
2012,HARYANA,,,,1,5,,22,23,93,95,219,2619,3077,41018,0.075015847
2013,HARYANA,,,,1,6,,20,22,92,103,382,2181,2807,39241,0.071532326
2014,HARYANA,,,2,1,7,,18,26,93,193,385,2009,2734,41112,0.066501265
2015,HARYANA,,,2,2,,,17,22,96,148,405,1959,2651,41690,0.063588391
2016,HARYANA,,,2,2,4,,17,24,94,170,422,1959,2694,42386,0.063558722
2017,HARYANA,,,2,,5,,16,60,182,287,314,3300,4166,45667,0.091225611
2008,HIMACHAL PRADESH,,,,,3,2,4,11,17,15,40,513,605,11845,0.051076404
2009,HIMACHAL PRADESH,,,,,4,3,3,12,12,13,48,642,737,13075,0.056367113
2010,HIMACHAL PRADESH,,,,1,3,2,2,14,9,11,60,1061,1163,13974,0.083225991
2011,HIMACHAL PRADESH,,,,1,3,3,4,17,10,18,73,1067,1196,13405,0.08922044
2012,HIMACHAL PRADESH,,,,1,6,1,4,14,12,24,78,1280,1420,14676,0.096756609
2013,HIMACHAL PRADESH,,,,1,9,,4,9,16,14,93,1269,1415,14341,0.098668154
2014,HIMACHAL PRADESH,,,1,,5,,4,6,8,16,96,1416,1552,14024,0.110667427
2015,HIMACHAL PRADESH,,,1,,5,,3,5,16,14,101,1401,1546,13784,0.112159025
2016,HIMACHAL PRADESH,,,,1,7,1,4,5,16,20,84,1569,1707,14178,0.120397799
2017,HIMACHAL PRADESH,5,,1,1,8,2,6,5,23,21,93,1803,1968,16067,0.122487085
2008,JAMMU & KASHMIR,,,1,1,3,,13,24,93,52,116,1331,1634,58003,0.028170957
2009,JAMMU & KASHMIR,,,1,1,3,,14,27,88,49,131,1339,1653,82721,0.019982834
2010,JAMMU & KASHMIR,,,1,,3,,14,27,88,49,131,1339,1652,85901,0.019231441
2011,JAMMU & KASHMIR,1,,,5,,,14,28,69,55,139,1738,2049,72995,0.028070416
2012,JAMMU & KASHMIR,1,,,,5,,14,30,69,50,259,1757,2185,72760,0.030030236
2013,JAMMU & KASHMIR,1,,,,4,,27,33,75,36,219,1845,2240,72474,0.030907636
2014,JAMMU & KASHMIR,1,,,,8,,24,35,85,27,219,1853,2252,72196,0.031192864
2015,JAMMU & KASHMIR,1,,,,11,,28,33,83,20,219,1869,2264,69215,0.032709673
2016,JAMMU & KASHMIR,,1,,,12,,25,49,86,28,358,1707,2266,69978,0.032381606
2017,JAMMU & KASHMIR,,1,,,8,,24,48,75,29,354,1847,2386,78348,0.030453872
2008,JHARKHAND,1,,2,,5,,6,2,36,22,84,1543,1701,51828,0.032820097
2009,JHARKHAND,1,,1,2,1,,1,6,53,57,116,1206,1444,42360,0.034088763
2010,JHARKHAND,2,,1,3,3,4,4,6,41,47,142,1238,1491,46613,0.031986785
2011,JHARKHAND,2,,1,2,3,1,7,4,58,74,139,1304,1595,51071,0.031231031
2012,JHARKHAND,2,,,3,2,2,4,3,52,78,135,1561,1842,55403,0.033247297
2013,JHARKHAND,1,,2,2,4,1,6,7,37,80,182,1630,1952,57361,0.03403009
2014,JHARKHAND,1,,2,2,3,1,6,9,79,65,236,2502,2906,56439,0.051489218
2015,JHARKHAND,1,,2,2,2,1,8,8,81,79,274,2578,3036,56488,0.053745928
2016,JHARKHAND,1,,3,1,4,1,9,11,86,92,397,2419,3024,56189,0.053818363
2017,JHARKHAND,,,4,,5,3,11,27,95,167,430,2516,3258,59341,0.054903018
2008,KARNATAKA,1,,1,2,2,,10,28,38,82,656,1933,2753,71226,0.038651616
2009,KARNATAKA,1,,1,1,3,,12,30,35,53,380,1272,1788,77344,0.023117501
2010,KARNATAKA,1,,1,1,3,,14,31,64,118,684,2807,3724,79454,0.046869887
2011,KARNATAKA,2,,,1,3,,19,30,68,140,577,2766,3606,81842,0.044060507
2012,KARNATAKA,1,,1,,,,,,74,178,462,2632,3348,79226,0.042258854
2013,KARNATAKA,1,,1,,10,,17,28,82,191,533,2780,3643,70895,0.051385852
2014,KARNATAKA,,,1,,3,9,15,29,112,257,399,2857,3682,72011,0.051131077
2015,KARNATAKA,1,,1,1,4,13,11,30,120,339,356,2967,3843,73746,0.052111301
2016,KARNATAKA,,,1,1,5,12,18,32,166,340,331,3448,4354,70934,0.061381002
2017,KARNATAKA,1,,1,2,9,19,8,48,164,353,340,3950,4895,91002,0.053790027
2008,KERALA,,,,,1,,1,21,74,,188,2498,2783,39137,0.071109181
2009,KERALA,,,,,,,1,21,73,,178,2375,2648,39159,0.067621747
2010,KERALA,,,2,,,1,1,21,74,,181,2498,2778,43447,0.063939973
2011,KERALA,,,2,,,,1,21,74,,185,2518,2801,45962,0.060941647
2012,KERALA,1,,1,,,,1,24,96,,175,2703,3001,46226,0.064920175
2013,KERALA,2,,,,3,,1,24,96,,175,2739,3040,49754,0.061100615
2014,KERALA,2,,,,3,,1,23,59,,167,2812,3067,47782,0.064187351
2015,KERALA,2,,,,3,,1,24,109,,185,2699,3023,49437,0.061148532
2016,KERALA,,2,,1,3,,2,23,67,,124,2702,2924,53881,0.054267738
2017,KERALA,,2,,1,4,2,3,22,71,,122,3722,3949,62476,0.063208272
2008,LAKSHADWEEP,,,,,,,,,,,1,15,16,295,0.054237288
2009,LAKSHADWEEP,,,,,,,,,,,1,15,16,295,0.054237288
2010,LAKSHADWEEP,,,,,,,,,,,1,15,16,295,0.054237288
2011,LAKSHADWEEP,,,,,,,,,,,1,15,16,225,0.071111111
2012,LAKSHADWEEP,,,,,,,,,1,,,15,16,296,0.054054054
2013,LAKSHADWEEP,,,,,,,,,1,,1,14,16,276,0.057971014
2014,LAKSHADWEEP,,,,,,,,,1,,8,7,16,264,0.060606061
2015,LAKSHADWEEP,,,,,,,,,1,,8,23,32,305,0.104918033
2016,LAKSHADWEEP,,,,,,,,,1,,8,23,32,369,0.086720867
2017,LAKSHADWEEP,,,,,1,,,,,,8,23,32,404,0.079207921
2008,MADHYA PRADESH,,,2,3,8,,42,22,309,375,222,1306,2289,69844,0.032773037
2009,MADHYA PRADESH,,,3,2,10,4,51,22,309,375,222,1306,2304,70593,0.032637797
2010,MADHYA PRADESH,1,,3,2,8,7,50,49,306,374,279,1581,2660,74191,0.035853405
2011,MADHYA PRADESH,1,,3,3,6,8,51,57,361,428,245,1624,2787,75742,0.036795965
2012,MADHYA PRADESH,1,,4,3,7,12,59,60,427,394,266,1777,3010,76506,0.039343319
2013,MADHYA PRADESH,2,,4,3,7,18,64,130,431,449,324,2277,3709,77664,0.047757005
2014,MADHYA PRADESH,1,,6,1,6,28,58,141,628,536,370,2415,4190,86946,0.048190831
2015,MADHYA PRADESH,3,,5,2,7,32,81,205,566,514,417,2950,4782,90628,0.05276515
2016,MADHYA PRADESH,1,3,4,1,9,40,71,196,476,196,468,2829,4294,86759,0.049493424
2017,MADHYA PRADESH,1,4,2,1,11,42,88,181,621,258,441,2702,4352,98466,0.044197997
2008,MAHARASHTRA,1,,1,4,7,,18,51,168,298,423,8134,9105,151999,0.05990171
2009,MAHARASHTRA,1,,1,4,7,,18,51,168,298,423,8134,9105,173401,0.052508348
2010,MAHARASHTRA,1,,2,3,10,,23,90,442,205,479,9887,11142,135470,0.082246992
2011,MAHARASHTRA,2,,2,2,16,,23,93,474,189,456,9552,10809,137826,0.078424971
2012,MAHARASHTRA,2,,3,1,17,,33,93,381,1072,2884,15576,20062,134696,0.148942805
2013,MAHARASHTRA,2,,3,,16,,33,95,410,417,2849,13724,17549,195651,0.089695427
2014,MAHARASHTRA,2,,3,1,16,14,47,114,796,213,771,15980,17957,171359,0.104791695
2015,MAHARASHTRA,2,,2,,20,,49,227,1302,241,960,16887,19690,179676,0.109586144
2016,MAHARASHTRA,1,2,1,,31,,40,220,1060,273,1197,18424,21249,176044,0.120702779
2017,MAHARASHTRA,1,1,1,1,42,,56,682,1016,283,5460,18665,26208,225475,0.116234616
2008,MANIPUR,,,,1,4,1,11,3,3,2,40,394,459,15414,0.029778124
2009,MANIPUR,,,,,5,,11,3,3,2,39,411,474,15273,0.03103516
2010,MANIPUR,,,,,5,1,12,3,3,2,152,294,472,18895,0.024980153
2011,MANIPUR,,,,,5,1,12,1,75,80,116,334,624,22938,0.027203767
2012,MANIPUR,,,,,6,1,13,1,82,84,161,288,636,23104,0.027527701
2013,MANIPUR,,,,,7,1,13,1,83,83,159,1133,1480,24499,0.060410629
2014,MANIPUR,,,,,6,1,13,1,84,80,157,1698,2040,24832,0.082152062
2015,MANIPUR,,,,1,6,11,10,1,84,78,317,1531,2039,24939,0.081759493
2016,MANIPUR,,,,1,6,11,16,1,84,77,311,1533,2040,25146,0.081126223
2017,MANIPUR,,,,3,4,10,16,2,83,125,258,1535,2036,25118,0.081057409
2008,MEGHALAYA,,,,,2,,2,8,5,3,1,153,174,9248,0.018814879
