YEAR,DGP/Addl.DGP ,IGP ,DIG ,AIGP/ SSP/SP ,Addl.SP/Dy.COMN ,ASP/Dy.SP ,Inspector ,Sub- Inspector ,A.S.I ,H.Constable ,Constable ,total
2008,20,27,17,51,5,216,552,2060,6035,5413,35047,49443
2009,23,21,18,59,5,234,573,1359,3218,5670,35271,46451
2010,11,11,13,33,6,44,168,674,1160,7232,36909,46261
2011,12,18,13,44,11,192,662,671,3499,6111,33121,44354
2012,9,23,9,42,22,201,590,1508,3834,5209,29571,41018
2013,12,15,9,41,20,193,679,1455,3627,5370,27820,39241
2014,11,20,2,40,18,213,677,1544,3883,5707,28997,41112
2015,10,19,2,2,0,239,666,1379,3482,6102,29789,41690
2016,10,12,8,39,26,226,737,1668,3891,6341,29428,42386
2017,5,11,1,25,11,138,732,1263,3611,6585,33285,45667
